"NU_INSCRICAO","NU_NOTA_MT"
"e656d6bad65c93fb2880f1eba5037008c8e75774","463.12234446096704"
"73ff9fcc02f0a99919906c942c2e1a1042cdcf98","433.61536569946395"
"71a95f9f1b91a82c65ad94abbdf9f54e6066f968","446.6075179813365"
"b38a03232f43b11c9d0788abaf060f7366053b6d","582.9817171551306"
"70b682d9a3636be23f6120fa9d6b164eb3c6002d","2.4151728125008276"
"715494628a50142ce8cb17191cfe6d0f3cae0934","519.5279520921547"
"465cd2a6907fb37d9d8ad3c065f0e2dabdba9b13","527.8053063415808"
"11539e86171bf07d3a36f09377d7f54ebcc8406a","437.51401805276686"
"043c544a2104aa8a9849f1a703a08d37a2f16839","467.6959558654436"
"76ba050e64ad100b856f0eaabd8f539d5c7dd185","452.52590723772266"
"8b7c167ea7b55c8168ec60c3851b1b598a8fbd11","2.4151728125008276"
"db4da599aab5bb08dce27094a35fd3e36cd0abce","2.4151728125008276"
"940aede382ccb332fab15d413217695ec44ca765","450.4467838668937"
"9ad714b116da76d878dd399d187fccc2dd13dd63","584.4325606002561"
"dd34464a4d780b12a089347ad580418ac57a3055","519.1736693763155"
"f837a4cb05a5fd59d20138182f5e8c721eadd584","469.5627890438749"
"fbfa8cde21a692b51fb86342110b4a334a0fcfdb","2.4151728125008276"
"ca8477c8493b09f34d17bb287f9bacf2dd744c32","2.4151728125008276"
"8b0c675d7fde14953668269d378c588f0df0498b","2.4151728125008276"
"051c4f04fcbe385e1b3964aeb87f0a41d7f203d0","415.2480999297386"
"3d203727f27abd83b71732d88d8cb1cc099f363b","445.3964977988535"
"d30d31c8ff45094e9a992c63d4a6f68b245a341a","9.259793931836214"
"c0c6a803c271a955a7085a59cd3d4d43bcf7a1a6","2.4151728125008276"
"cbc301183dec912f3513ca766bf03dd565f3a38f","478.25361657632493"
"856aa14bcd11bd289a3b970aab0ce1b166f2c50f","673.4248173208739"
"11282da1ee78c8db45a041db4c744e33df489df0","437.3188810946448"
"03c67f683a415c2ea09b582248bd4cb08528c19d","601.4183544122504"
"046e844fb06a07ba30b41521f0065a8d9c6e5024","419.8466818330044"
"b296bc595a212a2f89a35470a4bdbb3bfc3f7f1a","440.9434608998454"
"153eebe4d270fe850d2ede7f53cbc81a6f4ddf91","2.4151728125008276"
"a4e821c6f16fdae0a26cbbb7018b75812dfd074b","2.4151728125008276"
"f66c2e5ff22a95fa532e78c7c4bf1d145247211d","422.35986192420756"
"17f0dd5abd53dea135ffd020e8e8e0761b3a56aa","568.5358050554053"
"fbbd23fcfb37cf90b8c1f58eafcab62771f3cd71","490.301723875888"
"a99286ac4fdce6f63b59569b2d8ed85a5c911ea3","540.625227001182"
"f8d4f9a26c5f2023c33701a8888f9c02513a02c7","474.18900702875914"
"9785b7d9ca2e8dccfe60ecc0cd2abe1ff51906be","452.6657559523552"
"59bfa081e020013410d9f60f91813964ba749bb2","436.1996050211841"
"f5e069ee3bc95998464e8ff5da048b7f999921ed","452.6818086037376"
"e02240b518016d03a1b5bcc6d0a37b7a527ea93d","626.8367437954153"
"664f44258212a1f7e4086f2b4845d586c543fa3f","474.9484484446972"
"265cd7befa74a9f2a198fc57baec9858075f8419","439.26824425839607"
"6f9ac44919bbd204e0ef15185388fd2d4bc61253","497.1016129436334"
"78de1ee60b55766cc3eba4089e36c57139b66ebd","451.570250827052"
"24550edb10f283ef4e953fd6a8fedbfa211bd456","2.4151728125008276"
"1e61a474acdc043eb39a89c17fab34bd2ea1a940","433.2823564058852"
"940af68ded6af2875708611051aa7ff3f134d80b","493.75945481722"
"e7ec3258f3b280c1ddf452d107fbdc9fb5a6b72e","477.39218194605075"
"c76ddf6e9f80984e901b12f9462a3cf029bea290","474.1405452338149"
"7d39df837488ca3fa6e512fd9e20ec7753b4c36d","450.7446797998446"
"65bba36aa15f0c4ef3562ea56c125d931bc4ed63","19.906760525266236"
"1045c54b5ea9f6e08454ec57c47e4ce0e33190bd","-0.13443202578190494"
"92823d467a2ced9529801e0e8a94802dd88f0c17","433.4319830715159"
"9d0fbf9bf1bb039de65a6d0e143c9a791c62b941","560.7836194275384"
"413cbb38b2e2522f8167ffb9daeac1347b281393","476.77839527175917"
"68985fad004092956a4b4ce94dd53dc76d07eaf7","481.88048960897663"
"bdca9aeb19521675af15f2c28d86f6bebc45a834","477.04388511079185"
"b65b19d42b7a4b644fe9f99366dcb37b120862d9","426.5348456251904"
"eda898aa8ec465cbac70de72ead0c6d688e5f95a","434.17736438763586"
"5357b6c09be4c7f3829b72f80de846a9228253cb","2.4151728125008276"
"8d5c4481d736f6ce27976e400f4245bf10757608","434.3690748951641"
"226b53de56347e3f9b52c8e0ab811fb82e96b3fb","2.4151728125008276"
"089613ac7dca24109f84c72a97c83b2768b1df1c","2.4151728125008276"
"527773409bf373301dbd835e59a263c035c043b8","2.4151728125008276"
"45c95a1640ada5c9206fde19c4ccf68929c5ec0c","2.4151728125008276"
"c4cea54435c0fd0e171eed4c215479bb3ca86113","443.0451811821108"
"7d5cd89c6112b9a202a025a24355135bc60848c6","468.31465101444036"
"b70ab62384aa80545928a311f5b5d3db2f4d87ee","536.6004352226817"
"c96431dd924f366d2229a7f1455388b8cd85be49","567.4166582229132"
"1b72da5bb82cc150ecfe71218c02f155d694230b","2.4151728125008276"
"e429507efe1c2680cc464481850117d17083cd88","2.4151728125008276"
"dbaa6ee7502cbebb6f058fed5d2f960b19f451ac","435.90583175175243"
"e724482370ae6126008ade80b564ad8d8a0a7cbd","452.69154762381237"
"2ef4e2788e2f815f9a885c899f75d5dfeb234a02","643.4273381678831"
"c8762fee25b022eb5b4918f8f689e4fb6d19f73c","2.4151728125008276"
"e14241b5119dc1ff2c99b9c0c478aad23d9d9d05","469.4559459200891"
"7f898f8939ae054359f83ee154bb91bc7dd2c959","547.3629243994565"
"3c52d067408ec25a676b6fbf5b5c6d63c77cb6bf","465.6985576270391"
"82e3b12c6366008fabc238f299f117074e78de5d","421.8033339149056"
"0d838be0e718ceb786cdb10fcc12559e00440240","491.9741921719544"
"1b092b6c437359bb84f0d0f8d1286a1083d0e0d4","466.49322972405827"
"5a9d89465845ac2d81366275cbb1a81d627efd36","2.4151728125008276"
"c83fe640ba466ba904ac1055e53a875289888797","446.4080199210087"
"8855ae8971b9bd9b02c45a82c6c894a2e76ca542","463.63531027807255"
"a2945f1e7fbadac669590b7d9fafb6c900bca3d0","422.7605187550741"
"328639a0c753715c30a58bae70c82f2101153eb3","442.15946221108726"
"ffc5eb6764d7640edfbdaf4648cd54a12c94dea9","2.4151728125008276"
"643a0eb394b50694c74d5b5fc70b7f7f7c93f9c7","527.7472022791967"
"f56746cc2900258507d2b32c126f8db090db856f","438.9535696760282"
"1a4963b5fea8bb25c67750cdafbe84b01efad177","423.5662030316365"
"b520c940e62f4ed684417e7eacf00d85752060da","475.7099115879691"
"2e170cf2651ed448991af6fc5df15167733b2d8f","488.1815603685878"
"6efdd93a0ae289be6bb5a400bfc1deb077d75886","419.67778598431727"
"72ac2acc787d8cba0934cca3810ac091d792c8db","506.2242564015801"
"92a25eee14554806f081869cc9dac868fd1860fb","437.083940637158"
"1f12a9b01eb9ef227a5482f498f3354bd485d9a3","422.8993917495728"
"acfcaf61fe2a8ec90ea2648c3125b7dc4dd13b74","449.1379015945284"
"7ec2f787b9f57044bd98c0d4854f521c9f9ec635","524.7584628610047"
"e8d2d318a1e057e9cac8384f1269a86c4b36e0a7","440.54602095776283"
"1730807e4916c5f7e8ab21e02ac5657bcea3e732","2.4151728125008276"
"b45fb481022f31dd47c63c1c3e2ccc3b5915b67d","460.1728182067227"
"1a46d99716282410d1170f0f35069b34e34415d4","436.7563305908943"
"0467e022da4ef897f666bc76f31e1bc8976f7e92","472.6554010894018"
"993aca0d5eac6741117947c82a3647102096255e","454.33643096291075"
"94c96ade6ade21deb080bba6aad537fc4f195d47","488.5092130087721"
"36bb672077a46a3e4755cef90437a616d28bdf23","433.0066227241754"
"e406adf1d4712381dcd4d1c9d78fc9d7f14ff450","426.2735381534392"
"328ca19128d276eb4fbc309c54ec7f346c803d2f","739.5136955785007"
"27cdb62f0a2a5467efeb30aafbf246ed2320c532","418.4240551525487"
"c52cae37c3653620bbec72264c502f45ca2a8671","2.4151728125008276"
"f9ef2695eb0986666093945894b8f2fee351bf22","485.3491366586501"
"2178c497293d0cab01ce74f5105b1a398fb12d8e","2.4151728125008276"
"e21faa0c07406dde71ec02f266b19b314ba8b0e2","2.4151728125008276"
"8a021391cdaac100dab56c59284bd50137a74129","538.3213568629508"
"12ee0df69325d97cb95404958c4acf4112aeab8a","2.4151728125008276"
"b4ea8e8529711d52ed85b1a1f8ea0180bda442b8","499.91712085147094"
"66cf0f8b5af2466f9616fd15c0c10344df84982a","2.4151728125008276"
"720ef6c1d6cb4978762fb0edf4e55fd8303fe35a","449.8362903314776"
"60edc5708acd60680891ea15379dd07c7a5924ff","2.4151728125008276"
"b9f786712775e0d1d735398d710b01f404c985a3","415.60600897723225"
"564958997e204bda06fbe90afc4722805c78a855","586.3412427156757"
"36f38ea81d1305770cd5153f1e1667fe8a1eb47f","424.40549357778724"
"527098f4ee3ceb5c393981930d23b8fe154f4db9","2.4151728125008276"
"5a42c3f801e77d628649a6c34f3a4e5b80f232f7","471.82485830697897"
"8296743fdd105ce9183561cf5b359b0a3781465e","430.4529006886255"
"a3b79e8c739832c77df2ba6bcdb23a7518155a33","2.4151728125008276"
"6602c7f15a1fdd082265b64976448c6809df792d","450.0177073324238"
"31ae66f0fe024acae4490915c348e487f2367574","511.4887901322031"
"81901aa980653106e64863d957387d24e2c00af3","424.6404851236419"
"28e10d1bd0b6effe0edd503446ebda948ad240ad","435.74827971516896"
"53a7ee52a87f80241e2ca13c923e06b72bf3a059","413.2115919026704"
"50be5f75fdaedae454b0c3d63b7277854bd08d8f","3.573891571104866"
"82bbb4f6c87f03eecd6a3eb7d03a398bb82d155d","2.4151728125008276"
"0e2c166db6aa7deccbe4896423a1d68f6d57b0f1","588.8539459159772"
"d1e2b5c758988b6d69e90aedab3e02cae47d61c4","2.4151728125008276"
"02681b5c893b94db204713cb4b20dde6fc3f2f95","530.980995582159"
"6ce4c0e0784b3881b36b3d1c047ac6ad121681da","425.44596238523303"
"829dd51f77f3ae74c2216de2d86139bd0a03367c","2.4151728125008276"
"28c6829e69879bc1d34db1cd51b89562d3cc596b","505.4891945791415"
"ecb9f0d7a261c9f27865ea22f2e643701f721eb6","457.86915399772715"
